Sample Rate
100
Channel Index,Channel Name,Scale,Offset
0,Channel 0:,1.000000,0.000000
1,Channel 1:,1.000000,0.000000
2,Channel 2:,1.000000,0.000000
3,Channel 3:,1.000000,0.000000
4,Channel 4:,1.000000,0.000000
5,Channel 5:,1.000000,0.000000
6,Channel 6:,1.000000,0.000000
7,Channel 7:,1.000000,0.000000
Time(s),Channel 0:,Channel 1:,Channel 2:,Channel 3:,Channel 4:,Channel 5:,Channel 6:,Channel 7:
0.000000,4.532540,4.409247,4.201724,4.104067,3.867247,3.592584,3.322805,2.917525
0.010000,4.605783,4.354314,4.243229,4.040589,3.946593,3.641413,3.078660,2.764935
0.020000,4.470283,4.405585,4.196841,4.162661,3.881895,3.526665,3.197070,2.836957
0.030000,4.708324,4.433661,4.121157,4.123598,3.739071,3.558404,3.324025,2.762493
0.040000,4.431220,4.403143,4.107729,3.955138,3.696345,3.595026,3.009079,2.951705
0.050000,4.646067,4.484932,4.290837,4.056458,3.758602,3.303273,2.995651,2.811322
0.060000,4.610666,4.279850,4.128481,4.033265,3.654841,3.372854,3.109178,2.893111
0.070000,4.674144,4.503243,4.284733,3.967346,3.817197,3.454643,3.024949,2.891890
0.080000,4.508125,4.494697,4.193179,3.925841,3.565728,3.442435,2.923629,2.666056
0.090000,4.520333,4.265202,4.000305,3.807431,3.657282,3.293507,3.139696,2.707561
0.100000,4.462959,4.185855,4.014954,3.828183,3.640192,3.181201,3.090867,2.541543
0.110000,4.621653,4.412909,4.025940,3.839170,3.590143,3.391165,3.099413,2.767376
0.120000,4.497139,4.350652,4.022278,3.889220,3.627985,3.350881,3.099413,2.639200
0.130000,4.367742,4.248112,4.188296,3.920958,3.636530,3.397269,3.031052,2.474403
0.140000,4.346990,4.137026,4.196841,3.801328,3.454643,3.282521,2.824750,2.515908
0.150000,4.527657,4.309148,4.183413,3.696345,3.563287,3.122606,2.867475,2.413367
0.160000,4.405585,4.327459,4.111391,3.880674,3.559625,3.167773,2.866255,2.556191
0.170000,4.300603,4.171206,3.918517,3.680476,3.516899,3.033494,2.984665,2.439002
0.180000,4.556954,4.228580,3.863584,3.763485,3.433890,3.043259,2.785687,2.357214
0.190000,4.340887,4.121157,3.845274,3.652399,3.466850,3.233692,2.741741,2.460975
0.200000,4.514229,4.261540,3.819638,3.790341,3.457084,2.977340,2.647745,2.417029
0.210000,4.404364,4.155337,3.800107,3.734188,3.537652,3.056687,2.614786,2.335241
0.220000,4.456855,4.041810,4.047913,3.689021,3.436332,2.962692,2.751507,2.219272
0.230000,4.281071,4.161440,3.942931,3.682918,3.452201,3.046921,2.734417,2.351110
0.240000,4.471504,4.074769,3.756161,3.670710,3.239796,3.096971,2.769818,2.225376
0.250000,4.434882,4.107729,3.890440,3.682918,3.162890,3.055467,2.629435,2.213169
0.260000,4.284733,4.140688,3.730526,3.709773,3.142138,2.876020,2.690471,2.260777
0.270000,4.239567,3.930724,3.958801,3.623102,3.193408,3.017624,2.453651,2.135042
0.280000,4.201724,4.077211,3.674372,3.433890,3.250782,2.877241,2.550088,2.298619
0.290000,4.119936,4.018616,3.693904,3.592584,3.175097,2.851606,2.435340,2.125277
0.300000,4.246891,3.973449,3.740291,3.515679,3.253223,2.851606,2.473182,2.053254
0.310000,4.382391,3.908751,3.718318,3.464408,3.083543,2.937057,2.605020,2.174105
0.320000,4.199283,4.056458,3.676814,3.450980,3.050584,2.805219,2.407263,2.061799
0.330000,4.060121,3.962463,3.660945,3.385061,2.979782,2.805219,2.536660,2.138705
0.340000,4.226139,3.974670,3.753719,3.557183,3.093309,2.893111,2.463416,2.076448
0.350000,4.245670,4.063783,3.697566,3.360647,3.042039,2.827192,2.288853,1.936065
0.360000,4.030823,3.889220,3.610895,3.350881,2.924849,2.701457,2.352331,1.848173
0.370000,4.228580,3.798886,3.687800,3.443656,3.006638,2.605020,2.434119,2.026398
0.380000,4.074769,3.762264,3.488823,3.244678,3.010300,2.637980,2.324254,1.918975
0.390000,4.235904,3.847715,3.515679,3.324025,3.105516,2.650187,2.303502,1.800565
0.400000,4.133364,3.836728,3.671931,3.225147,2.981003,2.619669,2.298619,2.001984
0.410000,3.967346,3.770809,3.420462,3.110399,2.902876,2.478065,2.122835,1.871366
0.420000,3.917296,3.936828,3.618219,3.347219,2.868696,2.558633,2.213169,1.778592
0.430000,4.133364,3.696345,3.441215,3.225147,2.835737,2.596475,2.147250,1.856718
0.440000,4.018616,3.642634,3.502251,3.319142,2.846723,2.551308,2.052033,1.677272
0.450000,4.093080,3.906310,3.449760,3.085985,2.742962,2.585489,2.099641,1.768826
0.460000,3.847715,3.686580,3.354543,3.292287,2.961471,2.462196,2.187533,1.564965
0.470000,3.990539,3.828183,3.490043,3.095750,2.814984,2.493935,2.110628,1.601587
0.480000,4.068666,3.735409,3.392386,3.144579,2.873579,2.418250,1.917754,1.535668
0.490000,3.892882,3.718318,3.514458,3.029831,2.719768,2.421912,1.854276,1.518578
0.500000,3.935607,3.781796,3.461967,2.970016,2.796674,2.388952,1.899443,1.495384
0.510000,3.829404,3.649958,3.421683,3.125048,2.547646,2.406043,2.083772,1.441672
0.520000,3.736629,3.728084,3.375296,2.966354,2.633097,2.380407,1.794461,1.649195
0.530000,3.825742,3.702449,3.398489,3.064012,2.546426,2.314488,1.973907,1.534447
0.540000,3.922179,3.577935,3.248341,3.024949,2.609903,2.314488,1.799344,1.494163
0.550000,3.946593,3.548638,3.347219,3.064012,2.559854,2.327916,1.853056,1.494163
0.560000,3.949035,3.618219,3.236133,2.913863,2.419471,2.227817,1.783474,1.499046
0.570000,3.725643,3.541314,3.233692,2.867475,2.662394,2.229038,1.744411,1.336690
0.580000,3.817197,3.414359,3.271534,2.766155,2.456092,2.148470,1.630884,1.198749
0.590000,3.709773,3.399710,3.120165,2.822309,2.600137,2.191196,1.700465,1.285420
0.600000,3.804990,3.487602,3.103075,2.672160,2.349889,1.988556,1.577173,1.176776
0.610000,3.692683,3.299611,3.200732,2.877241,2.425574,2.063020,1.546654,1.356222
0.620000,3.606012,3.414359,3.233692,2.858930,2.511025,2.033722,1.640650,1.154803
0.630000,3.657282,3.458305,2.943160,2.766155,2.238804,1.859159,1.507591,1.248798
0.640000,3.571832,3.503471,3.154345,2.686809,2.362097,1.923857,1.668727,1.081559
0.650000,3.503471,3.425345,2.923629,2.793011,2.218051,1.948272,1.658961,1.131609
0.660000,3.542535,3.188525,2.884565,2.628214,2.175326,2.048371,1.667506,1.016861
0.670000,3.700008,3.167773,3.066453,2.524453,2.366979,2.033722,1.351339,0.931411
0.680000,3.491264,3.315480,3.010300,2.662394,2.215610,1.929961,1.545434,1.022965
0.690000,3.505913,3.255665,2.976120,2.471962,2.242466,1.950713,1.357443,1.114519
0.700000,3.555962,3.327687,2.921187,2.458534,2.169223,1.907988,1.447776,1.048600
0.710000,3.421683,3.254444,2.884565,2.484169,2.199741,1.846952,1.503929,1.084001
0.720000,3.477836,3.258106,2.944381,2.465858,2.091096,1.834745,1.193866,0.820325
0.730000,3.416800,3.107958,2.777142,2.530556,2.222934,1.772488,1.313497,0.861830
0.740000,3.543755,3.010300,2.888228,2.595254,2.136263,1.556420,1.215839,0.924086
0.750000,3.575494,3.029831,2.740520,2.291295,1.971466,1.567407,1.236591,0.972915
0.760000,3.416800,3.151904,2.672160,2.418250,1.994659,1.704128,1.096208,0.900893
0.770000,3.527886,3.085985,2.692912,2.244907,2.006867,1.649195,1.196307,0.841077
0.780000,3.378958,2.996872,2.673381,2.241245,1.838407,1.477073,1.103532,0.626230
0.790000,3.391165,3.087205,2.724651,2.353552,2.039826,1.398947,1.218280,0.770275
0.800000,3.465629,2.899214,2.557412,2.404822,2.050813,1.536889,1.031510,0.802014
0.810000,3.203174,3.074998,2.536660,2.251011,1.861601,1.450217,1.171893,0.631113
0.820000,3.204395,2.934615,2.517128,2.259556,1.765164,1.485618,1.137713,0.745861
0.830000,3.264210,2.907759,2.674601,2.334020,1.684596,1.475853,1.110857,0.656748
0.840000,3.151904,2.790570,2.412146,2.166781,1.905547,1.264668,0.976577,0.672618
0.850000,3.273976,2.749065,2.468299,2.143587,1.878691,1.278096,1.004654,0.418708
0.860000,3.133593,2.852827,2.403601,2.172885,1.622339,1.331807,0.942397,0.386969
0.870000,3.266651,2.954147,2.471962,2.058137,1.807889,1.271992,0.778820,0.524910
0.880000,3.177539,2.895552,2.392615,2.207065,1.629664,1.356222,0.803235,0.367437
0.890000,3.049363,2.762493,2.396277,1.977569,1.669947,1.174334,0.952163,0.399176
0.900000,2.954147,2.866255,2.362097,1.962921,1.542992,1.301289,0.939956,0.457771
0.910000,3.140917,2.876020,2.348669,2.110628,1.632105,1.092546,0.876478,0.274662
0.920000,3.015183,2.773480,2.404822,1.987335,1.713893,1.013199,0.881361,0.351568
0.930000,3.006638,2.656291,2.271763,1.965362,1.569848,1.109636,0.571298,0.178225
0.940000,3.026169,2.574502,2.171664,1.768826,1.475853,1.010758,0.548104,0.380865
0.950000,2.900435,2.705119,2.281529,1.734646,1.402609,1.176776,0.762951,0.117189
0.960000,3.009079,2.663615,2.099641,1.727321,1.572290,1.171893,0.579843,0.201419
0.970000,2.996872,2.655070,2.098421,1.882353,1.433127,0.992447,0.517586,0.271000
0.980000,2.778363,2.559854,2.257115,1.893339,1.497826,0.916762,0.582284,0.185550
0.990000,2.832074,2.558633,2.293736,1.832303,1.485618,1.098650,0.585946,-0.028077
1.000000,2.876020,2.592813,2.075227,1.806668,1.337911,0.902113,0.358892,0.101320
1.010000,2.840620,2.469520,2.221714,1.657740,1.239033,0.963149,0.438239,0.001221
1.020000,2.813764,2.591592,2.191196,1.595483,1.203632,0.804456,0.554208,-0.090333
1.030000,2.891890,2.337682,2.157015,1.666285,1.169451,0.969253,0.397955,0.068360
1.040000,2.605020,2.371862,2.077668,1.567407,1.269551,0.709239,0.281987,-0.056153
1.050000,2.631876,2.491493,2.136263,1.687037,1.086442,0.799573,0.483406,-0.097658
1.060000,2.807660,2.221714,1.890898,1.494163,1.210956,0.697032,0.473640,-0.096437
1.070000,2.712444,2.329137,1.990997,1.557641,1.066911,0.830091,0.443122,-0.257572
1.080000,2.755169,2.192416,1.898222,1.405051,1.143816,0.732433,0.305180,-0.065919
1.090000,2.736858,2.299840,1.984894,1.618677,1.198749,0.510262,0.095216,-0.080568
1.100000,2.703899,2.285191,1.922637,1.468528,1.059586,0.550546,0.245365,-0.076905
1.110000,2.493935,2.301061,1.958038,1.389181,1.009537,0.657969,0.263676,-0.155032
1.120000,2.659953,2.036164,1.676051,1.280537,0.861830,0.445563,0.283207,-0.317388
1.130000,2.594034,2.157015,1.655299,1.263447,1.016861,0.640879,0.114748,-0.297856
1.140000,2.424353,2.204623,1.699245,1.256123,1.009537,0.555428,-0.026856,-0.262455
1.150000,2.409705,2.110628,1.669947,1.197528,0.952163,0.367437,0.198978,-0.268559
1.160000,2.523232,1.964141,1.597925,1.311055,0.747082,0.456550,-0.032959,-0.286870
1.170000,2.512245,2.109407,1.680934,1.192645,0.708019,0.471199,0.081788,-0.485847
1.180000,2.454871,2.084993,1.579614,1.353780,0.847181,0.239261,-0.043946,-0.577401
1.190000,2.305943,1.994659,1.687037,1.185321,0.670176,0.402838,-0.114748,-0.632334
1.200000,2.219272,1.824979,1.595483,1.171893,0.643320,0.407721,-0.095216,-0.644541
1.210000,2.171664,1.988556,1.446555,1.235370,0.858167,0.413825,-0.272221,-0.673838
1.220000,2.360876,1.815213,1.370871,1.219501,0.775158,0.258793,-0.209964,-0.637217
1.230000,2.299840,1.977569,1.413596,1.110857,0.661631,0.245365,-0.242924,-0.668956
1.240000,2.198520,1.849393,1.348898,1.002213,0.516365,0.175784,-0.360113,-0.549325
1.250000,2.127718,1.709010,1.278096,1.080339,0.677501,0.217288,-0.112306,-0.582284
1.260000,2.272984,1.669947,1.524681,1.068132,0.521248,0.009766,-0.430915,-0.643320
1.270000,2.180209,1.866484,1.501488,0.893568,0.648203,0.211185,-0.456550,-0.694591
1.280000,1.978790,1.755398,1.184100,0.794690,0.455329,0.172122,-0.483406,-0.651865
1.290000,2.004425,1.571069,1.253681,0.874037,0.396735,0.162356,-0.511482,-0.820325
1.300000,1.999542,1.709010,1.341573,0.975357,0.534676,0.020752,-0.416266,-0.793469
1.310000,2.008087,1.553979,1.151141,0.908217,0.469978,-0.052491,-0.529793,-0.714122
1.320000,1.950713,1.643091,1.175555,0.706798,0.367437,-0.156252,-0.528573,-0.990005
1.330000,1.998322,1.658961,1.195087,0.626230,0.368658,-0.131838,-0.545663,-0.788586
