Sample Rate
100
Channel Index,Channel Name,Scale,Offset
0,Channel 0:,1.000000,0.000000
1,Channel 1:,1.000000,0.000000
2,Channel 2:,1.000000,0.000000
3,Channel 3:,1.000000,0.000000
4,Channel 4:,1.000000,0.000000
5,Channel 5:,1.000000,0.000000
6,Channel 6:,1.000000,0.000000
7,Channel 7:,1.000000,0.000000
Time(s),Channel 0:,Channel 1:,Channel 2:,Channel 3:,Channel 4:,Channel 5:,Channel 6:,Channel 7:
16000.000000,-9.372702,-9.461814,-9.808499,-9.967193,-9.860990,-9.804837,-9.657130,-9.015030
16000.010000,-9.494774,-9.438621,-9.579004,-9.702296,-9.493553,-9.359274,-9.691310,-9.238422
16000.020000,-9.489891,-9.691310,-9.361715,-9.499657,-9.758450,-9.569238,-9.631495,-9.151751
16000.030000,-9.286030,-9.321431,-9.505760,-9.608301,-9.441062,-9.423972,-9.249409,-9.040665
16000.040000,-9.221332,-9.423972,-9.560693,-9.532616,-9.382467,-9.505760,-9.604639,-8.932021
16000.050000,-9.023575,-9.803616,-9.680323,-9.810941,-9.546044,-9.497215,-9.631495,-9.431296
16000.060000,-9.254292,-9.550927,-9.658350,-9.641260,-9.383688,-9.677882,-9.571679,-8.955215
16000.070000,-9.439841,-9.585107,-9.434958,-9.511864,-9.519188,-9.735256,-9.277485,-9.419089
16000.080000,-9.618067,-9.819486,-9.797513,-9.686427,-9.660792,-9.641260,-9.168841,-9.154192
16000.090000,-9.408103,-9.547265,-9.411765,-9.535058,-9.423972,-9.554589,-9.325093,-9.245747
16000.100000,-9.403220,-9.864652,-9.560693,-9.481346,-9.698634,-9.355612,-9.096818,-9.284810
16000.110000,-9.492332,-9.708400,-9.832914,-9.572900,-9.718166,-9.593652,-9.043107,-8.761120
16000.120000,-9.499657,-9.323873,-9.715724,-9.477684,-9.481346,-9.668116,-9.199359,-9.267720
16000.130000,-9.163958,-9.754788,-9.522850,-9.911040,-9.674220,-9.233539,-9.060197,-9.138323
16000.140000,-9.221332,-9.560693,-9.447166,-9.477684,-9.730373,-9.231098,-9.294575,-9.107805
16000.150000,-9.434958,-9.561913,-9.731594,-9.552148,-9.409323,-9.533837,-9.185931,-9.199359
16000.160000,-9.530175,-9.398337,-9.576562,-9.769436,-9.712062,-9.235981,-9.393454,-8.827039
16000.170000,-9.474022,-9.725490,-9.561913,-9.748684,-9.506981,-9.547265,-9.240864,-8.941787
16000.180000,-9.662013,-9.831693,-9.795071,-9.845121,-9.885405,-9.731594,-9.329976,-8.982071
16000.190000,-9.240864,-9.677882,-9.791409,-9.716945,-9.444724,-9.250629,-9.277485,-8.866102
16000.200000,-9.752346,-9.763333,-9.476463,-9.530175,-9.701076,-9.552148,-8.980850,-8.794079
16000.210000,-9.703517,-9.419089,-9.503319,-9.570459,-9.615625,-9.467918,-9.206683,-8.693980
16000.220000,-9.260395,-9.522850,-9.714504,-9.503319,-9.652247,-9.242084,-9.096818,-9.072404
16000.230000,-9.466697,-9.439841,-9.906157,-9.638819,-9.757229,-9.393454,-9.019913,-8.503548
16000.240000,-9.591211,-9.593652,-9.937896,-9.430076,-9.676661,-9.181048,-9.122454,-8.538949
16000.250000,-9.796292,-9.448386,-9.757229,-9.798734,-9.775540,-9.520409,-9.023575,-8.641489
16000.260000,-9.530175,-9.936675,-9.946441,-9.679103,-9.400778,-9.505760,-9.223774,-8.551156
16000.270000,-9.445945,-9.491112,-9.797513,-9.394675,-9.364157,-9.165179,-8.849012,-8.460822
16000.280000,-9.653468,-9.919585,-9.520409,-9.452049,-9.548486,-9.441062,-8.709850,-8.833143
16000.290000,-9.680323,-9.884184,-9.962310,-9.565576,-9.439841,-9.389792,-8.891737,-8.635386
16000.300000,-9.569238,-9.432517,-9.862211,-9.705959,-9.181048,-9.018692,-8.665904,-8.595102
16000.310000,-9.698634,-9.930571,-9.620508,-9.570459,-9.359274,-9.329976,-8.728161,-8.691539
16000.320000,-9.926909,-9.427634,-9.609522,-9.481346,-9.509422,-9.007706,-9.166400,-8.259403
16000.330000,-9.862211,-9.652247,-9.589990,-9.709621,-9.547265,-9.116350,-9.144427,-8.730602
16000.340000,-9.654688,-9.427634,-9.867094,-9.423972,-9.327535,-9.034562,-8.912490,-8.188602
16000.350000,-9.520409,-9.710842,-9.964752,-9.456931,-9.321431,-9.204242,-8.755016,-8.156863
16000.360000,-9.779202,-9.863432,-9.626612,-9.310445,-9.431296,-9.312886,-9.046769,-8.604868
16000.370000,-9.631495,-9.535058,-9.741360,-9.775540,-9.515526,-9.094377,-9.040665,-8.593881
16000.380000,-9.448386,-9.591211,-9.596094,-9.776761,-9.250629,-9.364157,-8.584115,-8.321660
16000.390000,-9.392233,-9.643702,-9.444724,-9.450828,-9.107805,-9.062638,-8.557259,-8.421759
16000.400000,-9.760891,-9.425193,-9.420310,-9.238422,-9.467918,-9.144427,-8.835584,-8.263066
16000.410000,-9.458152,-9.773098,-9.550927,-9.211566,-9.044327,-8.878309,-8.575570,-8.092164
16000.420000,-9.788968,-9.652247,-9.713283,-9.217670,-9.246967,-8.972305,-8.831922,-8.391241
16000.430000,-9.774319,-9.397116,-9.510643,-9.255512,-9.460594,-8.935683,-8.493782,-8.260624
16000.440000,-9.802396,-9.969635,-9.873198,-9.470359,-9.454490,-8.849012,-8.551156,-8.232547
16000.450000,-9.795071,-9.459373,-9.781643,-9.174945,-9.312886,-8.974746,-8.474250,-7.904173
16000.460000,-9.698634,-9.395895,-9.516747,-9.704738,-9.290913,-8.984512,-8.538949,-7.999390
16000.470000,-9.911040,-9.892729,-9.642481,-9.681544,-8.999161,-8.609751,-8.455940,-7.852903
16000.480000,-9.818265,-9.809720,-9.298238,-9.515526,-8.908827,-9.124895,-8.339971,-7.918822
16000.490000,-9.873198,-9.546044,-9.829252,-9.528954,-9.384909,-9.049210,-8.392462,-7.710079
16000.500000,-9.981842,-9.862211,-9.337301,-9.502098,-9.040665,-9.076066,-8.518196,-8.154421
16000.510000,-9.622950,-9.710842,-9.751125,-9.643702,-9.026017,-8.827039,-8.464485,-8.182498
16000.520000,-9.702296,-9.713283,-9.439841,-9.394675,-8.827039,-8.629282,-8.482795,-8.134890
16000.530000,-9.509422,-9.842679,-9.522850,-9.443503,-9.201801,-8.523079,-8.116579,-7.999390
16000.540000,-9.621729,-9.747463,-9.331197,-9.179828,-9.034562,-8.685435,-8.514534,-7.673457
16000.550000,-9.917144,-9.887846,-9.580224,-9.165179,-8.725719,-8.888075,-8.071412,-8.042115
16000.560000,-9.926909,-9.904936,-9.472801,-9.028458,-8.689097,-8.776989,-8.189822,-7.497673
16000.570000,-9.696193,-9.610742,-9.719387,-9.190814,-8.988174,-8.371710,-8.165408,-7.667353
16000.580000,-9.983062,-9.603418,-9.492332,-9.215229,-8.892958,-8.801404,-8.404669,-7.375601
16000.590000,-9.978180,-9.714504,-9.304341,-9.373922,-8.763561,-8.447395,-8.162966,-7.630732
16000.600000,-9.749905,-9.466697,-9.604639,-9.448386,-8.855116,-8.336309,-8.003052,-7.834592
16000.610000,-9.611963,-9.370260,-9.308003,-8.956435,-8.650034,-8.731823,-7.989624,-7.614862
16000.620000,-9.415427,-9.442283,-9.641260,-9.391012,-9.113909,-8.371710,-8.195926,-7.690547
16000.630000,-9.575341,-9.740139,-9.525292,-8.903944,-8.884413,-8.717174,-7.951781,-7.351186
16000.640000,-9.609522,-9.334859,-9.272602,-9.190814,-8.766003,-8.232547,-7.995727,-7.573358
16000.650000,-9.613184,-9.699855,-9.409323,-8.824598,-8.973526,-8.291142,-7.768673,-7.148547
16000.660000,-9.845121,-9.327535,-9.432517,-8.797742,-8.682994,-8.502327,-8.028687,-7.451286
16000.670000,-9.653468,-9.369039,-9.482567,-9.297017,-8.515755,-8.264286,-7.987182,-7.214466
16000.680000,-9.924468,-9.304341,-9.546044,-9.098039,-8.745251,-8.547494,-7.772335,-7.152209
16000.690000,-9.439841,-9.431296,-9.177386,-8.791638,-8.628061,-8.495003,-7.816281,-6.983749
16000.700000,-9.581445,-9.381247,-9.550927,-8.829480,-8.661021,-8.250858,-7.570916,-6.897078
16000.710000,-9.345846,-9.261616,-9.443503,-9.000381,-8.567025,-8.414435,-7.745480,-7.437858
16000.720000,-9.893950,-9.223774,-9.525292,-8.717174,-8.796521,-7.921263,-7.668574,-7.215686
16000.730000,-9.412985,-9.251850,-9.392233,-8.756237,-8.361944,-8.147097,-7.374380,-6.838483
16000.740000,-9.315328,-9.181048,-9.312886,-8.989395,-8.593881,-8.234989,-7.824826,-7.076524
16000.750000,-9.561913,-9.536278,-8.906386,-8.766003,-8.429084,-7.845579,-7.436637,-7.243763
16000.760000,-9.299458,-9.600977,-9.343404,-8.706188,-8.604868,-7.746700,-7.550164,-6.811627
16000.770000,-9.832914,-9.309224,-8.872206,-8.526741,-8.606088,-8.205692,-7.619745,-6.639506
16000.780000,-9.720607,-9.561913,-9.065080,-8.685435,-8.308232,-8.226444,-7.522087,-6.840925
16000.790000,-9.394675,-9.163958,-9.000381,-8.656138,-8.370489,-7.996948,-7.400015,-6.661479
16000.800000,-9.703517,-9.196918,-8.962539,-9.024796,-8.138552,-7.974975,-7.417105,-6.995956
16000.810000,-9.782864,-9.204242,-9.260395,-8.414435,-8.271611,-7.585565,-7.457389,-6.519875
16000.820000,-9.647364,-9.013809,-8.985733,-8.430304,-8.509651,-7.755245,-7.327993,-6.449073
16000.830000,-9.715724,-9.576562,-8.889296,-8.634165,-8.346075,-7.661250,-7.507439,-6.525978
16000.840000,-9.649805,-9.229877,-8.775769,-8.339971,-8.242313,-7.712520,-7.398795,-6.630961
16000.850000,-9.527733,-9.193256,-9.033341,-8.639048,-8.353399,-7.957885,-7.124132,-6.816510
16000.860000,-9.732815,-9.084611,-9.085832,-8.646372,-8.386358,-7.906615,-6.837263,-6.366064
